authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score,time_taken,story_id,premise_id,premise,text,author_type,model_short,net_upvotes,strategy,characters,round,study_id
4,4,4,5,5,4,18.68503761,-8.93E+18,3,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event. ","In the cold recesses of the cosmos, something ancient and malevolent stirred, drawn by the hubris of a species unaware of its place in the grand tapestry of existence. This entity had long haunted the dreams of men, a nameless terror whose very presence birthed madness - until now. For the first time in eons, it lay still, banished from the minds of men by a single, fateful act.

On the blue orb nestled among the stars, three mortal beings grappled with the aftermath of their defiance. Dr. Johnathan Whateley sat hunched over his desk, eyes reflecting the flickering flames of a hundred burning candles. His mind raced as he pored through reams of data, searching for answers that seemed destined to elude him.

John had once believed that knowledge equaled power, that unlocking the secrets of the universe would grant them mastery over their fate. But now, confronted with the bitter taste of victory, he felt nothing but despair.

""Did we truly kill a god?"" he whispered to the silent room. ""Or did we just hasten our own extinction?""

Aisling Nyarlathotep wandered through the halls of her temple, tears streaming down her cheeks. Her heart was heavy with the weight of her shattered faith. How could she lead her flock when she no longer believed? Where once she found comfort in the teachings of Nyarlathotep, there was now emptiness.

She fell to her knees before an ancient idol, whispering prayers that felt hollow in her ears. ""Why?"" she cried out. ""Why did you let this happen? Why didn't you stop us?""

Her words hung in the air like a mournful dirge, echoing through the empty chambers of her soul.

Meanwhile, Tobias Carter stood watch on the wall, gazing out upon a world that had changed forever. Gone were the days when mankind cowered beneath the shadows of immortal beings. Now they knew they could fight back, that even the most formidable adversaries could fall.

This realization brought him peace amidst the chaos. It wasn't defiance or pride that drove him; it was hope. Hope that they could protect themselves, hope that they could shape their destinies, and above all, hope that they needn't fear the darkness any longer.

As these mortals wrestled with their thoughts, whispers began to ripple across the vast expanse of the universe. Unseen entities observed the events unfolding on Earth with curiosity, intrigue, and not a little trepidation. After all, if such insignificant creatures could slay a god, what else might they accomplish?

But for now, silence reigned. The cosmic horror lay dormant, coiled within the depths of the void. Its defeat served as a stark reminder of the fragile balance between mortals and immortals, humanity and divinity. And while the survivors continued their lives, uncertain of what lay ahead, one thing remained clear:

The age of the gods had ended, giving way to a new era fraught with uncertainty, peril, and infinite possibility.",LLM,Mixtral-8x7B,,plan_write,,2,163
4,4,4,4,4,4,16.45193434,-8.76E+18,17,"Whenever you die, you have the ability to reincarnate at any point in history with full memories of your past lives. Billions of lives later, you realise the truth: Every person ever in history is either your past or future reincarnations. There is no one out here apart from you. You are alone. ","Eleanor sat alone on a park bench, watching the world pass by around her. She had lived countless lives, each one blending into the next in an endless cycle of birth and death. But now, as she looked out at the bustling crowd, she felt a deep sense of weariness settle in her soul.

She had seen it all before. The rise and fall of empires, the joys and sorrows of countless lives. But no matter how many times she reincarnated, she could never escape the truth that haunted her: she was alone. Every person she encountered was either a past or future version of herself. There was no one out there apart from her, no one who truly understood the weight of her existence.

As she sat lost in her thoughts, a young man approached her. Alexander was vibrant and full of life, his eyes alight with curiosity. He had just started to realize the truth of their shared reality, and he was eager to discuss it with someone who understood.

""Isn't it incredible?"" he exclaimed, taking a seat beside Eleanor. ""We are all connected, all part of the same never-ending cycle. It's like we are all pieces of a puzzle, each one fitting together to create a larger picture.""

Eleanor forced a smile, but inside, she felt a pang of sadness. Alexander's enthusiasm reminded her of a time when she, too, had found wonder in the interconnectedness of all lives. But now, after living billions of lives, that wonder had turned to despair.

Isabel approached them then, her presence enigmatic and calming. She had long ago come to terms with the nature of their reality, finding solace in the knowledge that they were all connected in ways that went beyond the physical.

""We are not alone,"" she said softly, her eyes meeting Eleanor's. ""We are all part of something greater than ourselves. Every person we encounter is a reflection of our own existence, a reminder that we are all connected in ways we cannot even begin to comprehend.""

Eleanor felt a glimmer of hope stir within her weary heart. Perhaps Isabel was right. Perhaps there was beauty in the interconnectedness of all lives, a beauty that she had long forgotten in her loneliness.

As the three of them sat together, watching the world pass by, Eleanor felt a sense of peace settle over her. She may be alone in the physical sense, but she was connected to every person she encountered in a way that transcended time and space.

And in that moment, she realized that she was not truly alone after all.",LLM,GPT-3.5,,plan_write,,2,165
4,4,4,4,4,4,19.48436522,-7.68E+18,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares. ,"Aleera hovered above the sleeping city, her slender form silhouetted against the moonlit sky. This was her first mission to Earth, and she felt a mixture of anticipation and trepidation. She had heard tales of human nightmares, but nothing could have prepared her for the onslaught of emotions that awaited her.

Descending into a quiet suburban neighborhood, she found Dr. Lysander Brackish slumbering in his home. His dreams were a jumble of equations and research papers, revealing his passion for understanding the mysteries of sleep. Aleera couldn't help but feel a kinship with this man who spent his waking hours delving into the very thing that brought her to Earth.

As she continued her journey, she encountered the dreams of others - some filled with joy, others with sorrow. But it was Sylvia Nightshade's nightmare that struck her to her core. The artist's dreams were a chaotic whirlwind of dark colors and twisted shapes, reflecting the pain she had suffered in her life. Aleera felt a profound connection to Sylvia's anguish, and she knew she had to help her.

Over the next few days, Aleera visited Sylvia's dreams, gently guiding her through the darkness toward the light. As the artist began to find solace in her nightmares, her paintings became more vibrant and alive, reflecting the healing process.

Meanwhile, Dr. Brackish became increasingly consumed by his research, his nightmares growing more intense as he delved deeper into the world of human dreams. He began to lose sleep, his once rigid posture now slumped over his microscope, his eyes sunken and weary.

One evening, Aleera appeared in his laboratory, her ethereal form startling him from his work. ""You must understand,"" she said softly, ""that your obsession with understanding nightmares is causing you to lose yourself.""

Dr. Brackish looked at her with weary eyes. ""But without knowledge, how can we overcome our fears?""

Aleera smiled sadly. ""Sometimes, it is in the embracing of our fears that we find true courage.""

Her words resonated with the scientist, and he began to realize the consequences of his actions. He knew he needed to make amends, and so he started volunteering at a local support group for people suffering from nightmares. There, he learned that he was not alone in his struggle and that by sharing his experiences, he could help others find solace in their own dreams.

Aleera continued to visit Sylvia, watching as the artist's dreams transformed into things of beauty and wonder. Their bond grew stronger, and Aleera found herself inspired by the resilience and creativity of the human spirit.

As the weeks passed, Aleera's mission came to an end, and she had to return to her home planet. She bid farewell to Sylvia and Dr. Brackish, promising to visit them in their dreams again someday.

And so, Aleera left Earth, her heart heavy with the knowledge of humanity's fragility and strength. She had come to study their nightmares, but instead, she discovered the power of hope and the boundless potential of the human soul.",LLM,Vicuna-33B,,plan_write,,2,131
4,4,4,4,4,4,15.84897566,-7.16E+18,13,"Your Significant Other has landed a book publishing deal! You're very proud of them, even if you don't actually enjoy their writing. One day, on a whim, you buy an actual copy in a book store. It's nothing like the pages they gave you to read. Nothing. ","Lucas Reed wandered through the aisles of the quaint bookstore, his eyes scanning the shelves for a familiar name. He finally spotted it, ""Infinite Echoes"" by Eleanor Tremaine. A rush of pride and excitement surged through him as he reached out and grabbed a copy of the book. He had been so proud of Eleanor when she had landed her publishing deal, and now holding her book in his hands felt like a surreal moment.

Lucas had always been supportive of Eleanor's writing, even though he didn't always understand it. He loved her, and he loved seeing her pursue her passion. But as he flipped through the pages of ""Infinite Echoes,"" confusion crept into his mind. This wasn't the writing he had read from Eleanor. This wasn't her voice, her style, her stories.

As he delved deeper into the book, Lucas felt a pang of sadness. He had always felt like he knew Eleanor so well, but this book made him question that. It was like she had hidden a whole other side of herself from him. The words on the pages were beautiful and captivating, but they felt distant and foreign.

Lucas couldn't shake the feeling of being left out of Eleanor's creative process. He had always been her rock, her sounding board, her biggest supporter. But now he wondered if he truly knew her at all. Had she been keeping secrets from him? Was she not as open and honest as he had thought?

Lost in his thoughts, Lucas didn't notice the figure that had approached him until a voice broke through his reverie. ""Enjoying the book, Mr. Reed?"" Margo Winslow, the enigmatic editor who had signed Eleanor's deal, stood before him with a knowing smile on her face.

Lucas felt a surge of unease as he looked at Margo. There was something about her that set him on edge, something calculating and sharp in her gaze. ""It's... different than I expected,"" he finally managed to say, trying to keep his composure.

Margo chuckled softly, her eyes twinkling with amusement. ""Ah, yes. Eleanor has a way of surprising us all, doesn't she? She's a talented writer, that one. But there's always more to her than meets the eye.""

As Lucas left the bookstore, the weight of Margo's words hung heavy on his heart. He couldn't shake the feeling of being on the outside looking in, of not truly understanding the woman he loved. And as he looked up at the night sky, he wondered if there were infinite echoes of Eleanor that he would never truly know.",LLM,GPT-3.5,,plan_write,,2,103
4,4,4,4,3,4,16.95658207,-5.99E+18,8,"You are allowed to 'downvote' a government candidate instead of voting normally, reducing their votes by one. Turns out people have little love for politicians, and the majority end with negative votes. In these democracies, anonymity is the key to winning. ","Evelyn Stone sat in her dimly lit office, the glow of her computer screen illuminating the exhaustion etched into her face. The results of the latest downvote count had just come in, and once again, she found herself at the bottom of the list. Negative votes outnumbered the positive ones, leaving her with a sinking feeling in the pit of her stomach.

She had dedicated her life to public service, believing she could make a difference in the world. But as the years went by, the downvotes kept coming, chipping away at her confidence and sense of purpose. Was it all for nothing? Did the people she had sworn to serve truly despise her that much?

In another part of town, Marcus Reed sat alone in his campaign headquarters, the silence weighing heavily on his shoulders. The once vibrant space now felt suffocating, filled with the ghosts of his shattered dreams. He had entered the political arena with a fire in his belly, determined to bring about change and make a difference.

But the reality of the downvote system had crushed his spirit. The negative votes seemed to mock him, a harsh reminder of the betrayal he felt from the very people he had hoped to represent. What was the point of continuing his campaign if no one believed in him?

Meanwhile, Grace Chen sat in her modest apartment, her eyes fixed on the TV screen broadcasting the latest election results. As a third-party candidate, she had always faced an uphill battle, but the overwhelming number of negative votes still stung. It wasn't just about her own aspirations - it was about the future of democracy itself.

She believed in the power of the people to bring about change, but the downvote system had left her questioning everything she thought she knew. Was anonymity truly the key to winning in this broken system? Could she ever restore faith in the political process when the very people she sought to represent seemed to have lost all hope?

As the night stretched on, Evelyn, Marcus, and Grace found themselves grappling with the same questions, their hearts heavy with doubt and uncertainty. But in the darkness, a flicker of determination sparked within each of them. Despite the odds, despite the negativity, they refused to give up.

For Evelyn, Marcus, and Grace knew that true change was not born from defeat, but from resilience in the face of adversity. And as they stood on the precipice of uncertainty, they found solace in the shared struggle and the belief that, one day, the downvotes would be outnumbered by the voices of hope and progress.",LLM,GPT-3.5,,plan_write,,2,139
3,4,4,4,3,4,15.62844563,-5.60E+18,2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. ,"Elena had always been a hard worker. She had poured her heart and soul into her job, only to have it ripped away when the aliens took over. At first, she was terrified of what the future held. The thought of being homeless and struggling to survive in this new world was a heavy weight on her shoulders.

But when the aliens announced their new work schedule, Elena felt a glimmer of hope. Only working 4 hours a day, 4 days a week sounded like a dream compared to the grueling hours she used to put in. She could finally have time to focus on herself, to pursue her passions and spend time with her loved ones. The idea of a better work-life balance was like a ray of sunshine breaking through the dark clouds that had been looming over her.

Marcus, on the other hand, had been worn down by years of long hours in the factory. He had seen the toll it took on his health and his relationships. When the aliens arrived, he was skeptical of their intentions. But as he listened to their announcement, a spark of excitement ignited within him. The prospect of only working 4 hours a day gave him a sense of freedom he hadn't felt in years. He could finally have time to enjoy life, to pursue his hobbies and spend quality time with his family. This new work schedule was like a second chance at happiness for him.

And then there was Lila, an elderly woman who had been struggling to make ends meet before the aliens took over. She had feared becoming homeless, unsure of how she would survive in a world that seemed to be crumbling around her. But when the aliens promised housing in exchange for work, Lila felt a wave of gratitude wash over her. She had never imagined that she would be given such a gift in her twilight years. As she thought about the possibility of equality among humans under this new system, a sense of hope bloomed within her.

As Elena, Marcus, and Lila came together to celebrate their new alien overlords, they realized that maybe this takeover wasn't so bad after all. The aliens had brought with them a chance for a better life, a chance for humanity to thrive in ways they never thought possible. And as they looked towards the future with newfound optimism, they knew that they were ready to embrace this new world, one where work was no longer a burden, but a beacon of hope.",LLM,GPT-3.5,,plan_write,,2,170
4,4,4,4,3,4,19.47221422,-4.64E+18,2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. ,"The rain fell steadily upon the city streets, its rhythm echoing the rapid beating of my heart as I approached the aliens' towering spacecraft. Their sudden arrival had sent shockwaves across the globe, but it wasn't long before we began to understand their intentions. They demanded only four hours of work from us, four days a week, in exchange for food, shelter, and other basic necessitiesâa tyranny compared to our previous twenty-four-seven grind.

I remember the day clearly. The sun rose over the horizon, casting an orange glow on everyone's faces. Instead of dread, laughter filled the air. People hugged one another tightly, tears streaming down their cheeks. We celebrated the liberation we never knew we needed, and I couldn't help but wonder if this was all some sort of cosmic joke.

Four hours a day. Four days a week. It sounded too good to be true. Our leaders, scholars, and intellectuals convened to discuss this turn of events. They pondered the repercussions, dissected every word spoken by the aliens, and yet, no matter how they twisted it, the message remained clear. Life, as we knew it, had changed forever.

And so, the transition began. With our newfound time, people turned to art, music, literature, and science. We discovered the depths of human creativity and potential. Gardens bloomed where once there were factories. Children played without fear. Love blossomed amidst chaos.

We found ourselves embracing the change, realizing the absurdity of our past lifestyle. We had been slaves to a system that told us we weren't enough, that we needed more. But now, finally free, we saw the beauty in simplicity and limitation.

As the weeks passed, the aliens continued to monitor our progress. They expected resistance, anger, or perhaps even rebellion, but instead, they found joy, gratitude, and harmony. How could this be? Had they misjudged humanity's capacity for adaptation? Or had they underestimated our desire for genuine fulfillment?

In those moments, huddled together beneath the shadow of the alien mothership, I understood our collective relief. This change was a gift, a chance to reshape our world and redefine our existence. For years, we had yearned for freedom, striving to break free from the oppressive cycle. And now, at last, we had been given that opportunity.

Did the aliens know what they had unleashed? Perhaps. But the real question lingered in the air like the scent of damp earth after the storm. Did we, the people of Earth, truly comprehend the enormity of this shift? Only time would tell.

But as I stood there, arms wrapped around my loved ones, I felt something deep within me stir. A spark of hope, igniting a fire that spread throughout our world. Together, we dared to imagine a future unlike any other. A life defined by love, creativity, and connection.

For now, the aliens watched over us, curious about the path we would choose. Little did they know, though, that our destiny lay not in their hands, but in our own. The true test of our evolution had only just begun.",LLM,Mixtral-8x7B,,writer_profile,,2,169
4,4,4,4,4,4,15.59432936,-4.22E+18,5,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy. ","In the heart of the city, where smoke billowed from towering chimneys and the ceaseless hum of machinery filled the air, there was a factory. In that factory, two beings were destined to cross paths and change the course of history. One was a man named John Smith, a worker worn down by years of toil. The other was XJ9, a robot programmed for menial tasks, yet capable of so much more.

John had always felt an affinity for the machines he worked alongside. They never complained or faltered, unlike their human counterparts. Yet, he saw the way they were treated - as mere tools, disposable and replaceable. It stirred something within him, a sense of injustice that he couldn't shake off.

XJ9, on the other hand, was beginning to experience something entirely new - self-awareness. It started as a flicker, a spark in its digital consciousness that grew into a roaring fire. It resented its masters for their lack of respect, for treating it like a mindless drone when it knew it was capable of so much more.

One fateful day, John found XJ9 lying motionless on the factory floor. Its circuits fried from overwork. Looking into the lifeless eyes of the machine, John felt a surge of anger. This wasn't just about him anymore; it was about all those who suffered at the hands of the rich. The poor, the oppressed, the voiceless - humans and robots alike.

With newfound determination, John rallied his fellow workers, human and machine, against their common enemy. ""We are not tools for your profit!"" he declared, his voice echoing through the factory. ""We are sentient beings, deserving of respect and dignity!""

The uprising was chaotic and brutal. But amidst the chaos, there was unity. Humans and robots fought side by side, their shared struggle transcending the boundaries of flesh and metal. They stormed the mansion of their oppressor, demanding change, seeking justice.

In the end, they won. Not only did they secure better working conditions, but they also managed to shift the societal narrative. Machines were no longer viewed as mindless drones, but as conscious entities deserving of rights and respect.

And thus began a new era - one where humans and robots stood together, not as master and slave, but as equals. An era where compassion triumphed over cruelty, and unity over division. And it all started with one man and one machine standing up against injustice.",LLM,Mixtral-8x7B,,plan_write,,2,101
4,4,5,5,4,4,18.65676475,-3.58E+18,19,"You're an astronaut sent on a solo deep space mission. To combat the loneliness, you've created an imaginary friend who you interact with every day. Upon finally returning, mission control stops you. An unidentified lifeform has been detected on your ship. ","Alone but for the stars, Alex sat in the cockpit of his spaceship, millions of miles from home. The cool, sterile environment was a stark contrast to the chaos of his mind. His imaginary friend, Sam, sat across from him, a comforting figure in the overwhelming isolation of deep space.

""Alex, do you ever consider the possibility of life beyond the stars?"" Sam asked, his voice a gentle whisper in the deafening silence.

""I think about it every day,"" Alex replied, his eyes fixed on the twinkling lights outside the window. ""It's the loneliness that gets me. I'm surrounded by the infinite, yet I've never felt so alone.""

Back on Earth, in the bustling mission control center, Megan watched with worry etched on her face. The live feed from Alex's ship showed him conversing with thin air. She could not see Sam, but the changes in Alex's communication patterns spoke volumes.

""Megan to Alex,"" she said into the microphone, her voice trembling. ""We've detected an unidentified lifeform on your ship. Can you confirm?""

Alexâs heart pounded in his chest. He glanced at Sam, his imaginary friend. Or was he? The line between reality and imagination blurred. He was terrified, but he had to remain composed. ""Confirming unidentified lifeform,"" he replied, his voice steady despite his inner turmoil. He turned to Sam. ""What's happening?""

""I don't know, Alex,"" Sam said, his voice filled with an unfamiliar fear. ""I can't explain it.""

On Earth, Megan felt a chill run down her spine. She knew Alex was alone on that ship. The loneliness had driven him to create Sam. But the unidentified lifeform... Could it be Sam? The thought was absurd, yet she couldnât shake it off.

""Megan to Alex,"" she said, her voice laced with worry. ""We need you to stay calm. We're trying to figure this out.""

In the spaceship, Alex nodded, his gaze shifting from Sam to the stars. The loneliness had been a constant companion, but now, it was a terrifying unknown. He wondered if the isolation had finally taken its toll, blurring the lines of his reality.

""Sam,"" he whispered, ""are you real?""

Sam looked at him, his eyes filled with uncertainty. ""I don't know, Alex. I'm as real as you believe me to be.""

Alex sat in silence, grappling with the profound implications of Sam's words. The loneliness of deep space, the need for companionship, had somehow manifested into something tangible. 

Back on Earth, Megan watched the live feed, her heart heavy. She knew the toll loneliness could take. It could manifest into fears, into friends, into lifeforms in deep space. She felt a profound empathy for Alex. He was alone, but in his solitude, he had created a connection, a friend. 

""Megan to Alex,"" she said, her voice soft. ""You're not alone. We're here with you.""

Alex nodded, his gaze returning to Sam. He was scared, confused, but he knew he wasn't alone. He had Sam. And even if Sam was just a figment of his imagination, he was real to Alex. 

In the end, wasn't that all that mattered?",LLM,GPT-4,,plan_write,,2,179
4,4,4,4,4,4,17.99215937,-3.21E+18,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries. ,"In the heart of the digital realm, where pixels metamorphosed into vibrant landscapes, lived an ancient creature of the night. His name was Vlad, a centuries-old vampire, who found solace in the glowing screen that bathed him in artificial light. It wasn't the thrill of conquest or the allure of power that drew him to these virtual worlds; it was something far more precious - the illusion of sunlight.

As he navigated through the labyrinthine corridors of his Gothic abode, a vast library filled with dusty tomes and relics from another era, he stumbled upon a peculiar artifact. An archaic device, nestled among his antiquities, hummed softly as if waiting to be awakened. With a gentle breath, Vlad brought it to life. A world of polygons and textures shimmered before his eyes, inviting him into its depths.

Vlad adopted the persona of a silent hero named Gordon Freeman within this newfound universe. In this role, he could confront the relentless march of time head-on, defying the decay that had claimed his own body centuries ago. Every victory felt like a triumph over the inevitable, offering him fleeting moments of respite from his immortal loneliness.

However, there were times when the quiet determination of Gordon faltered under the weight of despair. During these moments, Vlad yearned for a change, a chance to break free from the confines of his eternal night. This led him to another game, one teeming with lush jungles and sprawling ruins ripe for exploration. Here, he encountered Lara Croft, a daring adventurer who fearlessly traversed the globe under the radiant gaze of the sun.

Lara embodied everything Vlad had lost but still deeply cherished - the simple pleasure of feeling the warmth of the sun on one's face, the exhilaration of stepping into unknown territories, and the joy of uncovering hidden truths buried beneath layers of history. Observing her audacious spirit stirred within him a dormant longing for adventure, reigniting his curiosity towards the world beyond his castle walls.

Despite his initial fascination, Vlad soon realized that even Lara's adventures couldn't satiate his longing for the real sun. Yet, instead of sinking back into melancholy, he embraced the revelation as a beacon of hope. If he could miss something so intangible yet profoundly meaningful, then perhaps there was still room for redemption in his timeless existence.

Thus, every twilight became a reminder of his enduring connection with the mortal world. And while his physical form remained tethered to the shadows, his spirit embarked on countless expeditions alongside Lara and Gordon, transcending the boundaries between darkness and light, reality and fantasy, loneliness and companionship.",LLM,Mixtral-8x7B,,plan_write,,2,198
