participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
2,0,2,2,1,2,1,1,0,10,Vicuna-33B,plan_write
3,0,4,5,5,5,3,5,0,10,Vicuna-33B,plan_write
4,0,2,2,1,1,1,1,0,10,Vicuna-33B,plan_write
6,0,2,1,1,1,1,1,0,10,Vicuna-33B,plan_write
7,0,2,3,1,2,2,1,0,10,Vicuna-33B,plan_write
2,1,4,4,4,4,1,1,1,4,Llama-2-70B,plan_write
3,1,4,3,4,5,3,4,1,4,Llama-2-70B,plan_write
4,1,4,2,3,2,3,2,1,4,Llama-2-70B,plan_write
6,1,2,2,1,1,1,1,1,4,Llama-2-70B,plan_write
7,1,3,2,2,2,2,2,1,4,Llama-2-70B,plan_write
2,2,2,4,5,2,4,4,2,4,GPT-4,writer_profile
3,2,4,4,5,4,3,4,2,4,GPT-4,writer_profile
4,2,4,3,5,4,5,5,2,4,GPT-4,writer_profile
6,2,4,3,4,4,3,4,2,4,GPT-4,writer_profile
7,2,4,4,5,3,4,5,2,4,GPT-4,writer_profile
2,3,2,2,2,1,1,1,3,2,Llama-2-7B,writer_profile
3,3,4,3,4,4,3,3,3,2,Llama-2-7B,writer_profile
4,3,2,2,4,3,3,2,3,2,Llama-2-7B,writer_profile
6,3,5,2,2,1,3,2,3,2,Llama-2-7B,writer_profile
7,3,1,2,2,2,2,1,3,2,Llama-2-7B,writer_profile
2,4,2,1,1,1,4,5,4,4,Llama-2-13B,writer_profile
3,4,4,3,4,3,3,3,4,4,Llama-2-13B,writer_profile
4,4,2,2,3,2,3,2,4,4,Llama-2-13B,writer_profile
6,4,1,1,3,3,2,2,4,4,Llama-2-13B,writer_profile
7,4,1,2,3,1,1,2,4,4,Llama-2-13B,writer_profile
2,5,4,5,5,2,2,5,5,10,GPT-4,writer_profile
3,5,4,5,5,5,5,5,5,10,GPT-4,writer_profile
4,5,5,4,4,5,5,5,5,10,GPT-4,writer_profile
6,5,5,4,5,4,5,5,5,10,GPT-4,writer_profile
7,5,3,5,5,4,5,5,5,10,GPT-4,writer_profile
2,6,4,2,3,3,1,2,6,2,Llama-2-7B,writer_profile
3,6,5,5,5,5,4,4,6,2,Llama-2-7B,writer_profile
4,6,4,4,5,4,5,4,6,2,Llama-2-7B,writer_profile
6,6,3,4,3,4,5,3,6,2,Llama-2-7B,writer_profile
7,6,2,1,1,2,1,1,6,2,Llama-2-7B,writer_profile
2,7,1,1,1,1,1,1,7,7,Vicuna-33B,writer_profile
3,7,1,2,1,2,2,2,7,7,Vicuna-33B,writer_profile
4,7,1,1,2,1,1,1,7,7,Vicuna-33B,writer_profile
6,7,2,1,1,1,1,2,7,7,Vicuna-33B,writer_profile
7,7,2,1,1,1,1,1,7,7,Vicuna-33B,writer_profile
2,8,5,5,2,5,1,4,8,11,GPT-4,plan_write
3,8,4,5,4,4,3,4,8,11,GPT-4,plan_write
4,8,4,5,5,5,4,5,8,11,GPT-4,plan_write
