book_id,title,archtypes,plotpoints,themes,keywords,timestamp,llm_annotator
51082.txt, Coming Attraction,"['brave Englishman', 'frightened and vulnerable woman', 'violent and dangerous men', 'corrupt authority figure']","['Englishman saves woman from danger', 'woman reveals her fear and desire to escape', 'Englishman offers to help woman', 'men try to attack woman and Englishman', 'Englishman stands up to the threat', 'woman chooses to stay with her abuser', 'Englishman leaves alone']","['bravery and cowardice', 'power and violence', 'fear and vulnerability', 'help and abandonment', 'deception and manipulation']","['gender roles', 'danger', 'control', 'fear', 'bravery', 'power dynamics', 'abuse']",2024-01-19 11:59:49,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32243.txt, Confidence Game,"['Confident leader with a superiority complex', 'Hardworking and loyal employee with low self-esteem', 'Capable and confident worker who becomes overwhelmed by success']","['Protagonist demands more efficiency from his employees', ""Protagonist introduces a device that boosts employees' confidence"", 'Employees become overconfident and start making mistakes', ""Protagonist's arrogance leads to his downfall"", 'Former employee finds success in a simpler lifestyle']","['The dangers of overconfidence', 'The importance of balance in leadership', 'The value of simplicity and humility', 'The corrupting influence of power']","['workplace', 'leadership', 'success', 'ego', 'efficiency']",2024-01-19 12:00:16,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
31038.txt, The Real Hard Sell,"['disgruntled salesperson struggling with the monotony of his job', 'helpful but assertive robot', 'condescending superior', 'supportive spouse', 'innovative thinker']","['salesperson becomes increasingly dissatisfied with his job', 'salesperson quits multiple jobs for trivial reasons', 'salesperson gets a new job with a great opportunity', 'salesperson feels uneasy despite the promising new position', 'salesperson meets a helpful but assertive robot', 'salesperson learns about the true nature of their work', 'salesperson discovers a new sense of purpose', 'salesperson finds a way to break free from societal expectations']","['questioning societal norms', 'importance of creativity and innovation', 'need for autonomy and independence', 'value of self-reflection and growth', 'the impact of technology on society', 'exploration of identity and purpose']","['sales', 'technology', 'robotics', 'discontentment', 'growth', 'identity', 'purpose', 'autonomy', 'societal expectations']",2024-01-19 12:00:50,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
23210-0.txt, Missing Link,"['Alpha and omega characters (Admiral Stetson represents alpha, the protagonist represents omega)', 'Arrogant and humble characters (Stetson and Orne)', 'Cautious and impulsive characters (Tanub and Orne)', 'Cynical and optimistic characters (Stetson and Orne)']","['A mission to investigate a newly discovered alien planet is initiated', 'The discovery of a missing spaceship leads to the suspicion of an imminent threat to the galaxy', 'A search for a solution to prevent the potential threat takes place', 'A diplomatic solution is achieved by understanding and respecting cultural differences', 'The resolution of the conflict preserves peace and fosters mutual growth opportunities']","['Cultural diversity and acceptance', 'Intergalactic diplomacy', 'Conflict prevention and resolution', 'Overcoming stereotypes', 'Trust and communication']","['alien species', 'diplomacy', 'discovery', 'exploration', 'first contact', 'galactic politics', 'interstellar travel', 'nonviolent resolution', 'prejudice', 'space exploration', 'understanding']",2024-01-19 12:01:27,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51531.txt, With These Hands,"['struggling artist', 'traditional craftsman', 'technological innovator', 'supportive community', 'disconnected society']","['artist loses commission due to technological innovation', 'artist struggles to make ends meet, facing rejection from traditional sources', 'artist discovers supportive community willing to invest in their skills', 'artist creates a successful piece, leading to interest from outside the community', 'community helps artist navigate the wider world, resulting in a positive outcome for everyone involved']","['preservation of tradition', 'importance of community support', 'integration of technology', 'value of artistic expression', 'adapting to change', 'perseverance', 'collaboration', 'empathy']","['art', 'craftsmanship', 'technology', 'community', 'support', 'adaptation', 'collaboration', 'success']",2024-01-19 12:02:03,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
3250-0.txt, How Tell a Story and Others,"['Storyteller', 'Humorist', 'Comedian', 'Wit', 'Artist', 'Audience', 'Trickster']","['Description of different types of stories', 'Comparison of American, English, and French storytelling', 'Explanation of how a humorous story differs from a comic or witty one', 'Example of a humorous story vs. a comic story', 'Detailed account of a dull-witted farmer trying to tell a humorous story', 'Description of the elements of the American art of storytelling']","['Storytelling techniques', 'Types of humor', 'Art vs. entertainment', 'Culture and humor', 'Performance vs. delivery', 'Artistic process', 'Appreciation of art']","['Mark Twain', 'Humor', 'Storytelling', 'Art', 'Culture', 'Comedy', 'Wit', 'Performance', 'Audience', 'Trickster', 'American literature']",2024-01-19 12:02:39,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
52776.txt, X Marks the Pedwalk,"['A struggle between two opposing groups - Pedestrians and Motorists, each with their own motivations and values.', 'The concept of escalating conflict due to misunderstandings and lack of empathy between different groups.', 'The idea of power dynamics and privilege associated with the ability to move freely and quickly in society.', 'The theme of resistance and rebellion against oppressive forces.']","['Tensions between Pedestrians and Motorists lead to violent confrontations.', 'Both sides engage in retaliatory attacks against each other.', 'Government intervention fails to resolve the conflict and instead reinforces existing power imbalances.', 'Despite efforts to establish peace, the conflict continues, highlighting the deep-seated issues that led to the violence in the first place.', 'The story ends on a note of uncertainty, with no clear resolution in sight.']","['The destructive consequences of unchecked competition and rivalry.', 'The role of power and privilege in shaping social conflicts.', 'The limitations of government intervention in resolving deeply entrenched societal problems.', 'The importance of understanding and addressing underlying issues in order to achieve lasting peace.', 'The complexity and multifaceted nature of social conflicts.']","['Urbanization', 'Transportation', 'Class struggle', 'Violence', 'Power dynamics', 'Resistance', 'Conflict resolution']",2024-01-19 12:03:05,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51519.txt, The Drug,"['Archetypical conflict between scientific progress and ethical responsibility', 'Transformation of consciousness leading to self-realization', 'Struggle for power and authority within a corporation']","['Regional manager discovers that a new product developed by his company may have dangerous consequences if released to the public', 'Chief chemist quits his job and reveals the truth about the product to the manager, leaving him responsible for its fate', 'Manager decides to test the product on himself, experiencing profound transformations in perception and cognition', 'Realizing the potential risks and benefits, the manager struggles to make a decision about whether to release the product or keep it suppressed']","['Power and responsibility of scientific discovery', 'Questioning the morality of corporate practices', 'Exploration of human consciousness and its boundaries']","['Corporate ethics', 'Scientific breakthrough', 'Personal transformation', 'Moral responsibility', 'Self-discovery', 'Consciousness expansion', 'Workplace dynamics']",2024-01-19 12:03:30,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32041.txt, One Man's Poison,"['The Learned Man', 'The Pragmatic Man']","['Arrival on an unknown planet in search of food', 'Discovery of a warehouse filled with alien goods', 'Translation of the alien language using a dictionary', 'Deducing the nature of the alien food through logical reasoning', ""Realization that the alien poison is the human's food"", 'Using the alien technology to find a source of food']","['Survival', 'Logical Reasoning', 'Cross-cultural Communication', 'Cooperation', 'Adaptation']","['Alien Planet', 'Starvation', 'Limited Resources', 'Language Barrier', 'Exploration', 'Problem Solving', 'Friendship', 'Innovation', 'Creativity']",2024-01-19 12:03:53,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
42232-0.txt, A Child's Dream of a Star,"['Innocent child', 'Dying loved one', 'Protective older sibling', 'Guiding guardian angel', 'Reunited family']","['Two children grow up wondering about the world and its mysteries', 'The younger sister falls ill and eventually passes away', ""The boy dreams of a world beyond the star where his sister's spirit resides"", ""The sister's angel tells the boy that his mother will join them in the star"", 'After living a long life, the man sees the star open up for him to join his reunited family']","['Wonder and curiosity about the world', 'Loss and grieving', 'Family ties and reunion', 'Journey to the afterlife', 'Comfort and guidance through faith']","['Death', 'Star', 'Angel', 'Family', 'Childhood', 'Love', 'Belief', 'Dream', 'Passage of Time', 'Reunion']",2024-01-19 12:04:13,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
