book_id,title,archtypes,plot_points,themes,key_words,timestamp,llm_annotator
51082.txt, Coming Attraction,"['The archetype of the protector or rescuer, embodied by the narrator who saves the girl from being hooked by the modified car', 'The archetype of the damsel in distress, embodied by the girl who needs saving from the gang and later from the wrestler', 'The archetype of the villain, embodied by the gang who wants to harm the girl and later by the wrestler who also tries to harm the girl', 'The archetype of the trickster or manipulator, embodied by the wrestler who manipulates the girl into staying with him and hurts her physically']","['The girl is saved from the gang by the narrator', 'The girl asks the narrator for help to get to England', ""The girl tells the narrator she's afraid of the wrestlers and the consequences of losing a match"", 'The narrator offers to help the girl escape the situation, but she ultimately stays with the wrestler', 'The wrestler physically harms the girl, but she remains with him despite her initial fear']","['The theme of danger and fear, embodied by the gang and the wrestler who pose a threat to the girl', 'The theme of rescue and protection, embodied by the narrator who helps the girl multiple times', 'The theme of manipulation and control, embodied by the wrestler who manipulates the girl into staying with him', 'The theme of strength and weakness, embodied by the wrestler who appears strong but is ultimately controlled by the girl']","['Masks', 'New York', 'Gangs', 'Wrestling', 'Fear', 'Protection', 'Manipulation', 'Strength', 'Weakness']",2024-01-18 22:53:42,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32243.txt, Confidence Game,"['The protagonist is a self-made, confident and determined businessman who demands more and more efficiency from his employees, ultimately leading to a crisis.', 'The antagonist is a scientist who develops a device, the Confidet, that can affect the human ego and improve confidence, but also causes unexpected consequences.']","[""The protagonist's company is initially successful, but he becomes increasingly demanding and pressured to improve efficiency."", 'The protagonist discovers the Confidet and decides to use it on his employees, leading to significant improvements in productivity.', ""The protagonist's obsession with efficiency leads to unforeseen consequences, including strained relationships and legal troubles."", 'The antagonist reveals the true nature of the Confidet and its impact on the protagonist, causing him to reflect on his values and decisions.', 'The protagonist faces the consequences of his actions and tries to make amends, eventually finding a new direction in his life.']","['The dangers of obsession and excessive focus on efficiency', 'The importance of self-awareness and reflection', 'The power and limitations of technology', 'The impact of personal values on decision-making', 'The potential for redemption and growth after failure']","['business', 'efficiency', 'technology', 'ego', 'consequences', 'decision-making', 'values', 'reflection', 'redemption', 'growth']",2024-01-18 22:54:22,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
31038.txt, The Real Hard Sell,"['The successful but discontented salesman struggling with the monotony of his job and the pressure to conform to societal expectations', ""The supportive wife who challenges traditional gender roles and encourages her husband's creativity and independence"", 'The outdated and unconventional Burley family who choose to live simply and independently, rejecting technology and embracing self-sufficiency', 'The powerful and influential Old Man, who embodies the corporate culture of conformity, obedience, and consumerism']","[""The salesman's increasing frustration with his job and his inability to find fulfillment in material success"", 'The encounter with the free-spirited and independent Burley family, who inspire the salesman to question the values of his society and consider a different way of life', ""The salesman's decision to defy societal norms and embrace a simpler, more authentic way of living, free from the constraints of technology and consumerism"", 'The sacrifice and bravery displayed by the salesman and his wife as they break free from the oppressive system and seek a better life for themselves and their son']","['The tension between conformity and individuality', 'The emptiness of material success and the value of genuine relationships and experiences', 'The power of questioning societal norms and seeking a different path', 'The importance of creativity, innovation, and imagination in a world dominated by conformity and automation', 'The courage and determination required to break free from oppression and create a better life']","['Sales', 'Conformity', 'Consumerism', 'Individuality', 'Simplicity', 'Authenticity', 'Revolution', 'Courage', 'Determination', 'Creativity', 'Innovation', 'Imagination', 'Family', 'Love', 'Freedom']",2024-01-18 22:55:10,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
23210-0.txt, Missing Link,"['Arrogant Authority Figure (Stetson)', 'Naive Protagonist (Orne)', 'Powerful Antagonist (Tanub)']","['Section Chief of Investigation & Adjustment wants to destroy a planet', 'Junior I-A field man transferred to I-A and tasked with investigating a planet', 'Planet contains an alien civilization', 'Civilization is discovered to have technology capable of challenging the Galactic Federation', 'Junior I-A field man makes contact with alien civilization', 'Alien civilization captured the Delphinus Rediscovery and plans to reverse-engineer its technology', 'Junior I-A field man negotiates a peace treaty between the Galactic Federation and the alien civilization']","['Authority vs. Autonomy', 'Trust vs. Suspicion', 'Peaceful Exploration vs. Aggression', 'Superior Technology vs. Inferior Technology']","['aliens', 'first-contact', 'Galactic Federation', 'I-A', 'Rediscovery & Reeducation', 'peaceful exploration']",2024-01-18 22:55:45,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51531.txt, With These Hands,"['Artist struggling to make a living in a technologically advanced society', 'Traditional craftsman resistant to change', 'Young woman seeking artistic fulfillment', 'Successful engineer who values efficiency']","['Artist loses a commission due to new technology', 'Artist meets a potential student who challenges his views', 'Artist struggles with his own ego and prejudices', 'Artist rediscovers his passion for art through teaching', 'Artist creates a masterpiece using traditional techniques']","['The value of tradition vs. innovation', 'The struggle of the artist in a changing world', 'The importance of staying true to oneself', 'The power of art to inspire and connect people', 'The tension between creativity and commerce']","['art', 'technology', 'tradition', 'creativity', 'ego', 'teaching', 'masterpiece', 'passion']",2024-01-18 22:56:20,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
3250-0.txt, How Tell a Story and Others,"['Descriptions of different types of stories (humorous, comic, witty) and their characteristics.', 'Contrast between the manner of storytelling and the matter of the story.', 'Differences in storytelling techniques between cultures (American, English, French).', ""Characteristics of the 'humorous story' - requires artistic skill, can be long and meandering, depends on the telling.""]","['A description of a storytelling situation where the teller tries to maintain a serious demeanor despite the inherent humor in the story.', 'Example of a humorous story about a soldier and his missing leg, presented in a rambling and disjointed manner.', 'Description of the technique of slurring the point and dropping it casually to create a surprising effect.', 'Explanation of the pause as an important feature in any kind of storytelling.']","[""The significance of the 'art' of storytelling in the oral tradition."", 'The cultural specificity of storytelling styles and techniques.', 'The impact of the manner of storytelling on the reception and interpretation of the story.', 'The role of timing and delivery in creating humor in a story.']","['Storytelling', 'Humor', 'Art', 'Culture', 'Performance', 'Timing', 'Delivery', 'Tradition']",2024-01-18 22:57:01,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32041.txt, One Man's Poison,"['The story features two main characters, both explorers, who are stranded on an unfamiliar planet and must find a way to survive despite the lack of familiar resources.', 'The two characters are initially portrayed as pragmatic and logical, but as the story progresses, their more human qualities become evident, such as fear, desperation, determination, and ingenuity.', 'Although the two characters are initially at odds with each other due to differing opinions on how to proceed, they ultimately work together to overcome the challenges they face.']","['The story begins with the two characters discovering that they are low on food and water, which sets the stage for the ensuing action.', 'The characters explore the building they find on the planet and attempt to determine if there are any edible or potable items within.', 'The characters encounter various obstacles in their quest for sustenance, including a sentient food item that attempts to consume them and a potentially hostile transportation device.', 'The characters ultimately discover a solution to their predicament by using their wits and creativity to adapt to their surroundings.']","['The story highlights the theme of survival in the face of adversity and the importance of resourcefulness and adaptability in unfamiliar environments.', 'The relationship between the two characters serves to illustrate the power of collaboration and teamwork in overcoming seemingly insurmountable obstacles.', 'The story also touches on the idea of the unknown and the potential dangers that can arise from exploring unfamiliar territory, as well as the importance of understanding and respecting foreign cultures and technologies.']","['survival', 'resourcefulness', 'teamwork', 'exploration', 'unknown', 'adversity', 'foreign culture', 'technology', 'obstacle', 'creativity']",2024-01-18 23:00:04,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51337.txt, The Man Outside,"['A young man who is protected by his descendants from the future, who come back in time to prevent him from being killed by their brother Conrad.', 'A group of selfish and incompetent descendants who are more concerned with preserving their own status and comfort than with helping others.', 'An idealistic young man who wants to change the social order and is willing to use violence to achieve his goals.']","[""The disappearance of the protagonist's mother and the arrival of his great-great-granddaughter Ninian to take care of him."", ""The protagonist's realization that Ninian and her descendants come from the future and are protecting him from Conrad."", ""The protagonist's education and introduction to his descendants' culture and way of life."", ""The protagonist's growing unease and disillusionment with his descendants and their values."", 'The eventual arrival of Conrad and the revelation that he has been manipulated by his descendants all along.', ""The resolution of the story and the protagonist's acceptance of his fate."", 'The implied cyclical nature of history and the idea that it may repeat itself despite the actions of individuals.']","['The consequences of time travel and changing the past.', 'The limitations and flaws of human nature, especially when it comes to power and privilege.', 'The cyclical nature of history and the idea that it may repeat itself despite the actions of individuals.', 'The tension between individual agency and fate.', 'The potential for redemption and growth, even in the face of adversity.', 'The importance of empathy and compassion.']","['time travel', 'generational conflict', 'power and privilege', 'human nature', 'history', 'agency and fate', 'redemption', 'empathy']",2024-01-18 23:02:53,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32684.txt, The Invader,"['Alien invader posing as human', 'Scientist gathering data', 'Mob mentality', 'Authority figures (police, medical personnel)']","['Alien lands on a planet full of potential hosts', 'Alien takes over a human host', 'Alien explores the planet in disguise', ""Alien's true nature is revealed"", 'Alien is attacked by humans', 'Alien dies after being shot']","['Appearance vs reality', 'Danger of first impressions', 'Survival', 'Fear of the unknown', 'Power of the group vs individual']","['Alien invasion', 'Body horror', 'Paranoia', 'Science fiction', 'Thriller']",2024-01-18 23:03:13,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
30044.txt, The Carnivore,"['Alien beings who are peaceful and technologically advanced, but lack the capacity for violence and aggression necessary to intervene in the affairs of others', 'Human survivor who represents the last vestiges of a destructive and self-annihilated species']","['Aliens discover the last surviving human after a devastating war has wiped out humanity', ""Human survivor learns that the aliens stood by and did nothing to prevent the war due to their fear of humanity's violent nature"", 'Aliens reveal that they made the human survivors sterile, ensuring the extinction of the human race', 'Human survivor reflects on the destructive nature of humanity and experiences a mix of emotions towards the alien beings']","['The destructive nature of war and violence', 'The contrast between peaceful and aggressive societies', 'The impact of fear and apathy on decision-making', 'The potential for redemption and growth in the face of extinction']","['aliens', 'post-apocalyptic', 'war', 'survival', 'non-violence', 'fear', 'extinction']",2024-01-18 23:03:38,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
