participant_id,study_id,authenticity_comments,empathy_comments,engagement_comments,emotion_provoking_comments,narrative_complexity_comments,human_likeness_comments,open_comments,story_id,premise_id,model_short,strategy
8,100,"At first I was going to give it a 4 because of the confusing ambiguity of the being, but then I decided that this ambiguity fed into the craziness the author was trying to convey. ",I feel like I understand the narrator's craziness to a greater degree through the imagery or rather nonimagery of the being,,the sexuality and the possibility of it being rape or some strange beastiality ; it was also funny though ,I've never seen psychopathy or craziness represented in such a way --- I would say this story is innovative ,Only a human would take a prompt and twist it in such an imaginative way ,,ja0rozz,12,Human-Advanced,
10,100,"The unrealistic scenario does not change the unrealistic behavior showcased by Tyler. As much as I would want to score it one, it reads as a comedy and I'm not sure it intended to come off as realistic or 'authentic'. ",There was no sense of danger felt by the protagonist. It was hard to relate to a protagonist that felt completely confident in such a scenario. ,The story had captivating and creative twists from the prompt. ,It read as a comedy and made me smile. ,"It may be a matter of style, as many human works are simplistic in nature. However, in terms of depth of characters/relationships, there was little objectively speaking. ","I have never used Chat GPT. I do not know how to compare or distinguish between a human and not. I'm assuming it's decently good, but prone to mistakes. The reason I put a two despite being lenient on the simplistic nature and the liberties taken beyond the given prompt is because of nonsensical mistakes. For instance, the humor seemed very human, but when the word ""dude"" was considered a pet name, it showcased a lack of understanding of such terms. ",,ja0rozz,12,Human-Advanced,
11,100,,,,,,,,ja0rozz,12,Human-Advanced,
15,100,This story sounded very absurd so it leads me to believe that a human did not write this.,I felt a little bad for the demon under Tyler's bed because Tyler was saying inappropriate things.,,,The characters didn't seem to have much depth to them and Tyler was a basic character who remembers his father's words.,,,ja0rozz,12,Human-Advanced,
8,101,,,,,It has structure and a sense of completion but the completion is not in any way fulfilling or interesting,everything is so macroscopic and abstract and written like a recipe ,,-4.22E+18,5,Mixtral-8x7B,plan_write
10,101,"The emotional buildup was not only underwhelming, but also, not emphasized nearly enough. The relationship between Xj9 and John Smith was not written in a way that made John's anger justified. ",The relationship between Xj9 and John Smith was not written in a way that made John's anger justified. More telling than showing. ,The story was just describing a rebellion without any kind of depth or complexity. ,I did not care. ,"From the names to the catalyst for the rebellion, everything was basic and dryly written. ",No depth. No complexity. Too simple and no emotional progression. ,,-4.22E+18,5,Mixtral-8x7B,plan_write
11,101,,,,,,,,-4.22E+18,5,Mixtral-8x7B,plan_write
15,101,The story sequence logically follows and details parallels with the real world.,,"As I read the story, I wanted to learn more and keep reading. I enjoyed the plot and it sounds very similar to plotlines I've read in books and seen in media. ",,There is enough character development for John but I would have liked more backstory for XJ9.,"The story is very comparable to that of works by humans regarding robots and less affluent individuals feeling like slaves. The idea of robots having sentience is of great interest to humans so it has been portrayed in the media through many forms. Thus, I am inclined to believe a human wrote this due to that history.",,-4.22E+18,5,Mixtral-8x7B,plan_write
8,102,,,has somewhat interesting descriptions at parts ,,,,,6.93E+18,15,GPT-3.5,writer_profile
10,102,I couldn't really follow how the soul began to feel at peace because of the dog's presence. Should have elaborated more.,I couldn't really follow how the soul began to feel at peace because of the dog's presence. Should have elaborated more. I could also not feel the weight of their death's tragedy. ,It was literally the prompt in slightly more detail. ,,"It describes the scene with detail in some areas, but just resorts to telling/explaining the emotions instead of showing their progression. ","The story adheres closely to the prompt. It takes no real creative liberties. It is also very unspecific at times, saying the soul died tragically, but refusing to elaborate or explain the emotions associated with that end beyond 'anger'. Yet, because certain phrases and analogies used give me a sense of complex understanding, and because it reminds me of a way someone I know writes, I can't confidently say it is LLM. ",,6.93E+18,15,GPT-3.5,writer_profile
11,102,,,,,,,,6.93E+18,15,GPT-3.5,writer_profile
15,102,,,,,,,I like the use of Cerberus as a therapeutic figure for the lost soul. It shows how dogs can show compassion for someone without saying a single word. It is a very powerful way of telling the story.,6.93E+18,15,GPT-3.5,writer_profile
8,103,"Although I feel immediately that this is AI written, I felt that this story was written better than the other AI stories (the stories I judge to be AI). It seemed that the narration of the main character did indeed have an expectation and a disappointment that I could feel. ",The beginning with his curiosity of Eleanor's work and the end with his realization that there are infinite echoes of a person that cannot be known. If the writer had added more specificity to these two parts it would be much more believable. ,,,,"the dialogue and the play with ""infinite echoes"" is rather well written if it were an AI. ",,-7.16E+18,13,GPT-3.5,plan_write
10,103,I understand to some degree what it could feel like to realize you don't really know someone you thought you did. It is a problem I could see someone having. ,"I personally don't think it did a great job of emphasizing the inner turmoil Lucas might feel, but there is an attempt. ","It wasn't the most engaging, but not the most boring either. ",The emotions were not emphasized well. ,There are moments where the writing insinuates more depth. There is an inner conflict despite it not being as well written as it could (in my opinion). ,,,-7.16E+18,13,GPT-3.5,plan_write
11,103,,,,,,,,-7.16E+18,13,GPT-3.5,plan_write
15,103,,,,,We don't know that much about Eleanor besides Lucas's comments on her book.,,,-7.16E+18,13,GPT-3.5,plan_write
8,104,,,,,,"The descriptions in this story seem much more human or at least imitative of real authors. However, the use of the same standard structure, ending off in that last note of abstract reflection makes me think that it's still LLM--- or else a very boring author ",,3.40E+18,16,GPT-3.5,writer_profile
10,104,People are curious and often end up doing things they are told not to do. ,,A bit boring. ,"While I do think some emotions could have been illustrated more clearly, there was an attempt. ",,,,3.40E+18,16,GPT-3.5,writer_profile
11,104,,,,,,didn't seem really specific,,3.40E+18,16,GPT-3.5,writer_profile
15,104,,,,,,,,3.40E+18,16,GPT-3.5,writer_profile
8,105,"use of slang, abbreviations like gf, poorly spelled words (entance instead of entrance, visable instead of visible), really raunchy humor ",,,very funny and great surprising ending ,it's not super complex but it has a very interesting main character and an unexpected plot ,,,iqefve3,4,Human-Novice,
10,105,The people act way to carelessly with what they know is a potentially dangerous object. Strange dialogue. ,"The story reads like a comedy and made me laugh, but I did not resonate with the problem itself","It was an interesting concept, and the comedy used unconventional language that sounds like something I'd hear from someone in real life. ","Some of the more human reactions aren't present, but I don't think the purpose was to make me pity the loss of the protagonist's girlfriend anyway. It seems like it is trying more to evoke laughter. ",It is not complex and the characters don't have much depth. ,The language has a lot of human-sounding phrases. The grammar mistakes also make it seem more human. ,,iqefve3,4,Human-Novice,
11,105,,,,,,seems to use too simple of words/slang to be llm,,iqefve3,4,Human-Novice,
15,105,,,,,,,,iqefve3,4,Human-Novice,
8,106,,,,,,"not a super interesting story, but the structure and style is individualistic enough that I find it to be human ",,inbvq5e,1,Human-Advanced,
10,106,"How the alien compares dreams to foods, the emotions in these kinds of analogies felt human. ",I really enjoyed the comparisons and the language used.,I really enjoyed the comparisons and the language used. A lot of questions are raised. ,I understood the weight nightmares and dreams in general carry. ,"Despite being short and relatively simple, the story managed to highlight the sorrows and terror that comes with being human. The alien showing pity shows a humane side, too. ",,,inbvq5e,1,Human-Advanced,
11,106,,,,,, seems kind of trope-y,,inbvq5e,1,Human-Advanced,
15,106,,,,,,,,inbvq5e,1,Human-Advanced,
8,107,,,,,,,,3.49E+18,18,Vicuna-33B,plan_write
10,107,"There was some emotions portrayed realistically. The feeling of absence for someone who you thought should be there (in the beginning) was great, but as the work progressed, the story became rushed. ",The beginning felt the most human. ,The story was initially engaging when the story was not rushed. ,I understand why it would be hard to have an absent parental figure. ,It needs to go into more detail as to the desire to the father. ,The writing style was inconsistent. Progressed rapidly. ,,3.49E+18,18,Vicuna-33B,plan_write
11,107,,,,,,the last paragraph seemed out of place,,3.49E+18,18,Vicuna-33B,plan_write
15,107,,,,,,,,3.49E+18,18,Vicuna-33B,plan_write
8,108,"although human experiences are not an explicit part of this story, I feel that human emotions ,personality and our sense of humor is represented well ",provides a new perspective about earth as a whole and our capabilities ,,,"cool use of pronouns to represent gods, good use of narrative rhythm, and inventive structure ",,,izy0nrq,3,Human-Advanced,
10,108,,,,,,,,izy0nrq,3,Human-Advanced,
11,108,,,,,,vague,,izy0nrq,3,Human-Advanced,
15,108,,,,,,,,izy0nrq,3,Human-Advanced,
8,109,,,,,,,,izxdani,3,Human-Intermediate,
10,109,,,,,,,,izxdani,3,Human-Intermediate,
11,109,,,,,,,,izxdani,3,Human-Intermediate,
15,109,,,,,,The story line was absurd and had no clear direction. Some of the writing seemed hard to understand and I couldn't follow what the story was about.,,izxdani,3,Human-Intermediate,
8,110,"I can tell that it's human written, but I feel that such an encounter between a father and a son with that dialogue is a little bit delusional ",,,,,,,k9pmb29,18,Human-Advanced,
10,110,,,,,,,,k9pmb29,18,Human-Advanced,
11,110,,,,,,,,k9pmb29,18,Human-Advanced,
15,110,,,,,,,,k9pmb29,18,Human-Advanced,
8,111,,,,,,,,jpbfga8,17,Human-Novice,
10,111,,,,,,,,jpbfga8,17,Human-Novice,
11,111,,,,,,"spelling/grammar issues might indicate human writing, it is kind of vague and doesn't make that much sense ",,jpbfga8,17,Human-Novice,
15,111,,,,,,,,jpbfga8,17,Human-Novice,
8,112,,,,,,,,j5e4vw4,7,Human-Advanced,
10,112,interactions seem human,,,,,,,j5e4vw4,7,Human-Advanced,
11,112,,,,,,flows really well,,j5e4vw4,7,Human-Advanced,
15,112,,,,,,,,j5e4vw4,7,Human-Advanced,
8,113,,,,,,"Use of certain vocabulary like ""i booped his nose"" and certain phrases like ""young mortal"" ",,jba33np,15,Human-Novice,
10,113,,,,,,,,jba33np,15,Human-Novice,
11,113,,,,,,seems to be very human-like in description of the dog,,jba33np,15,Human-Novice,
15,113,,,,,,,,jba33np,15,Human-Novice,
8,114,the ending is ridiculous,,,the ridiculous ending actually angered me,,,,3.07E+18,18,Mixtral-8x7B,writer_profile
10,114,,,,,,,,3.07E+18,18,Mixtral-8x7B,writer_profile
11,114,,,,,,the last bit is weird and feels like a summary,,3.07E+18,18,Mixtral-8x7B,writer_profile
15,114,,,,,,,,3.07E+18,18,Mixtral-8x7B,writer_profile
8,115,,,,,,,,jb4e5gy,15,Human-Intermediate,
10,115,,,,,,,,jb4e5gy,15,Human-Intermediate,
11,115,,,,,,seems creative for the prompt and mentions abrahamic religion which wasn't part of the prompt,,jb4e5gy,15,Human-Intermediate,
15,115,,,,,,,,jb4e5gy,15,Human-Intermediate,
8,116,,,,,,,,j15ipw5,6,Human-Advanced,
10,116,,,,,,,,j15ipw5,6,Human-Advanced,
11,116,,,,,,,,j15ipw5,6,Human-Advanced,
15,116,,,,,,The story conveyed emotions that I don't suspect LLMs can recreate on the same level. I felt the denial that Dakota had when they heard someone on the phone. It seemed surreal for another person to be alive.,,j15ipw5,6,Human-Advanced,
8,117,,,,,,,,-1.90E+18,7,GPT-3.5,writer_profile
10,117,,,,,,,,-1.90E+18,7,GPT-3.5,writer_profile
11,117,,,,,,last paragraph seems out of place and like a summary,,-1.90E+18,7,GPT-3.5,writer_profile
15,117,,,,,,,,-1.90E+18,7,GPT-3.5,writer_profile
8,118,,,,,,,,1.19E+18,9,Mixtral-8x7B,plan_write
10,118,,,,,,"The language used was notably slightly more advanced than others, making me a bit uncertain. Still, the descriptions of depression resonated with me. ",,1.19E+18,9,Mixtral-8x7B,plan_write
11,118,,,,,,"seems really lofty and impersonal, last paragraph seems like a summary",,1.19E+18,9,Mixtral-8x7B,plan_write
15,118,,,,,,,,1.19E+18,9,Mixtral-8x7B,plan_write
8,119,,,,,,,,-4.72E+17,15,GPT-4,plan_write
10,119,,,,,,,,-4.72E+17,15,GPT-4,plan_write
11,119,,,,,,just feels kind of impersonal and the last paragraph seems like a summary,,-4.72E+17,15,GPT-4,plan_write
15,119,,,,,,,,-4.72E+17,15,GPT-4,plan_write
8,120,,,,,,,,4.30E+18,5,GPT-3.5,plan_write
10,120,,,,,,,,4.30E+18,5,GPT-3.5,plan_write
11,120,,,,,,seems impersonal,,4.30E+18,5,GPT-3.5,plan_write
15,120,,,,,,very basic. ,,4.30E+18,5,GPT-3.5,plan_write
8,121,,,,it was actually kind of funny the descriptions of the penguins with the sundaes,,,,-7.21E+17,4,GPT-3.5,writer_profile
10,121,,,,,,,,-7.21E+17,4,GPT-3.5,writer_profile
11,121,,,,,,seems not very creative,,-7.21E+17,4,GPT-3.5,writer_profile
15,121,,,,,,,,-7.21E+17,4,GPT-3.5,writer_profile
8,122,,i feel quite drawn to the main character and his charisma,,I laughed out loud when the demon started raging about the coal being a diamond ,,,,j1seyv2,10,Human-Intermediate,
