study_id,participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,authenticity_comments,empathy_comments,engagement_comments,emotion_provoking_comments,narrative_complexity_comments,human_likeness_comments,open_comments,model_short,strategy
100,8,ja0rozz,5,4,5,4,5,5,"At first I was going to give it a 4 because of the confusing ambiguity of the being, but then I decided that this ambiguity fed into the craziness the author was trying to convey. ",I feel like I understand the narrator's craziness to a greater degree through the imagery or rather nonimagery of the being,,the sexuality and the possibility of it being rape or some strange beastiality ; it was also funny though ,I've never seen psychopathy or craziness represented in such a way --- I would say this story is innovative ,Only a human would take a prompt and twist it in such an imaginative way ,,Human-Advanced,
100,10,ja0rozz,2,1,5,4,2,2,"The unrealistic scenario does not change the unrealistic behavior showcased by Tyler. As much as I would want to score it one, it reads as a comedy and I'm not sure it intended to come off as realistic or 'authentic'. ",There was no sense of danger felt by the protagonist. It was hard to relate to a protagonist that felt completely confident in such a scenario. ,The story had captivating and creative twists from the prompt. ,It read as a comedy and made me smile. ,"It may be a matter of style, as many human works are simplistic in nature. However, in terms of depth of characters/relationships, there was little objectively speaking. ","I have never used Chat GPT. I do not know how to compare or distinguish between a human and not. I'm assuming it's decently good, but prone to mistakes. The reason I put a two despite being lenient on the simplistic nature and the liberties taken beyond the given prompt is because of nonsensical mistakes. For instance, the humor seemed very human, but when the word ""dude"" was considered a pet name, it showcased a lack of understanding of such terms. ",,Human-Advanced,
100,11,ja0rozz,3,3,4,3,2,4,,,,,,,,Human-Advanced,
100,15,ja0rozz,2,3,3,3,2,2,This story sounded very absurd so it leads me to believe that a human did not write this.,I felt a little bad for the demon under Tyler's bed because Tyler was saying inappropriate things.,,,The characters didn't seem to have much depth to them and Tyler was a basic character who remembers his father's words.,,,Human-Advanced,
101,8,-4.22E+18,1,1,1,1,2,1,,,,,It has structure and a sense of completion but the completion is not in any way fulfilling or interesting,everything is so macroscopic and abstract and written like a recipe ,,Mixtral-8x7B,plan_write
101,10,-4.22E+18,1,1,1,1,1,1,"The emotional buildup was not only underwhelming, but also, not emphasized nearly enough. The relationship between Xj9 and John Smith was not written in a way that made John's anger justified. ",The relationship between Xj9 and John Smith was not written in a way that made John's anger justified. More telling than showing. ,The story was just describing a rebellion without any kind of depth or complexity. ,I did not care. ,"From the names to the catalyst for the rebellion, everything was basic and dryly written. ",No depth. No complexity. Too simple and no emotional progression. ,,Mixtral-8x7B,plan_write
101,11,-4.22E+18,4,4,4,4,3,4,,,,,,,,Mixtral-8x7B,plan_write
101,15,-4.22E+18,5,4,5,4,4,5,The story sequence logically follows and details parallels with the real world.,,"As I read the story, I wanted to learn more and keep reading. I enjoyed the plot and it sounds very similar to plotlines I've read in books and seen in media. ",,There is enough character development for John but I would have liked more backstory for XJ9.,"The story is very comparable to that of works by humans regarding robots and less affluent individuals feeling like slaves. The idea of robots having sentience is of great interest to humans so it has been portrayed in the media through many forms. Thus, I am inclined to believe a human wrote this due to that history.",,Mixtral-8x7B,plan_write
102,8,6.93E+18,1,1,2,1,1,1,,,has somewhat interesting descriptions at parts ,,,,,GPT-3.5,writer_profile
102,10,6.93E+18,2,1,1,1,2,3,I couldn't really follow how the soul began to feel at peace because of the dog's presence. Should have elaborated more.,I couldn't really follow how the soul began to feel at peace because of the dog's presence. Should have elaborated more. I could also not feel the weight of their death's tragedy. ,It was literally the prompt in slightly more detail. ,,"It describes the scene with detail in some areas, but just resorts to telling/explaining the emotions instead of showing their progression. ","The story adheres closely to the prompt. It takes no real creative liberties. It is also very unspecific at times, saying the soul died tragically, but refusing to elaborate or explain the emotions associated with that end beyond 'anger'. Yet, because certain phrases and analogies used give me a sense of complex understanding, and because it reminds me of a way someone I know writes, I can't confidently say it is LLM. ",,GPT-3.5,writer_profile
