story_id,prompt,text,net_upvotes,model_short
iuv1iu7,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords.,"I finished my speech, fully prepared for the usual spectacle of protests and outrage. I take no pleasure in those but centuries of analysis and prosperity proved our way as superior and most efficient.

However cruel it is.

I certainly didnï¿½ï¿½ï¿½t expect this unusual noise the humans started producing. It took my communications specialist the long Earth minute to identify and then confirm the noise as ï¿½ï¿½ï¿½cheeringï¿½ï¿½ï¿½.

Were these humans that distraught by our demands that they went into mass hysteria? No, the specialist confirmed, the reaction appeared to be genuine.

However weird it was.

In the following weeks, I have met with the representatives of the power elite. The world leaders, their richest and most powerful individuals.

Contrary to my expectations, they didnï¿½ï¿½ï¿½t beg me to spare their workforce. Quite the opposite, in fact.

ï¿½ï¿½ï¿½The economy will collapse!ï¿½ï¿½ï¿½ One of them said, his tone identified as ï¿½ï¿½ï¿½condescendingï¿½ï¿½ï¿½. ï¿½ï¿½ï¿½If you give everyone homest giving everyone a handout!ï¿½ï¿½ï¿½

There was a lot of the same sentiment from their communication networks. The same demands to be given more work and more scarcity.

Apparently, that is what their previous rulers considered ï¿½ï¿½ï¿½motivationï¿½ï¿½ï¿½.

The lower classes of the population, on the other hand, appeared almost disturbingly cheerful.

Our empire has conquered vast galaxies and countless worlds. And everywhere we went, the lower classes wept with despair over the tyranny we imposed on them. But humans were different.

They met us with praise, warmth and worship. I would have enjoyed it if I were not so busy trying to figure out why.

Eventually, we chose one of them to conduct an interview with. I asked her why they were enjoying our rule.

Her answer was the most shocking.

ï¿½ï¿½ï¿½Why not?ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Your planet is currently under occupation by the foreign species,ï¿½ï¿½ï¿½ I said firmly, intending to leave no room for our translators to misinterpret. ï¿½ï¿½ï¿½You spent one sixth at me like I was a child. Or a jester. Then she realised I was serious.

ï¿½ï¿½ï¿½We used to work a third of the day, at the minimum,ï¿½ï¿½ï¿½ she said. I heard it. But I refused to believe it. That was not an efficient use of the daily cycle. ï¿½ï¿½ï¿½Five or six days a week depending on how anal the management would get with you.ï¿½ï¿½ï¿½

I checked whether our translators were working right. Eight hours a day at least? That would leave only sixteen hours to maintain the healthy bodily functions. Half of that would go to hibernation alone!

ï¿½ï¿½ï¿½Even the good jobs donï¿½ï¿½ï¿½t really differ much. See, my brother used to work at one of those big hedge funds. Really big money. But there was also the whole thing about showing your face around so he spent almost half a day there.ï¿½ï¿½ï¿½

Half? Willingly?

ï¿½ï¿½ï¿½Soï¿½ï¿½ï¿½ since we are talking here, may I ask a question?ï¿½ï¿½ï¿½

I nodded.

ï¿½ï¿½ï¿½Why all the perks?ï¿½ï¿½ï¿½ She sounded sincere. ï¿½ï¿½ï¿½I mean, I am enjoying all the free time and ot of us are just waiting for the other shoe to drop.ï¿½ï¿½ï¿½

I looked at my increasingly frustrated translator. He clarified that she was talking about consequences or, as they said, ï¿½ï¿½ï¿½catchï¿½ï¿½ï¿½.

ï¿½ï¿½ï¿½There is none.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½None at all? No eating our young or old?ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½We have developed the sufficiently sustainable food systems. We implement those across all our occupied territories.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Solving the world hunger, too, huh?ï¿½ï¿½ï¿½ She smiled. ï¿½ï¿½ï¿½Okay, so why the free housing and healthcare? There is seven billion of us, after all.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½We are the efficient species. Providing you with those ensures the longevity of your service for the empire.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½And you are not going to, I donï¿½ï¿½ï¿½t know, harvest us for our organs or something? Right?ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½All due respect but we have evolved far beyond what your bodies could provide us with.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Good. Just checking.ï¿½ï¿½ï¿½

The young woman was soe would be this speciesï¿½ï¿½ï¿½ sav",4800,Human-High
iuuuykf,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords.,"ýýýSo let me make sure I understand that correctly. All our basic needs are met for working 16 hours a week? And if we have disabilities that mean we canýýýt work certain types of job we get preference for the kinds of work we can still do? And healthcare is included in basic needs, both visits and medications?ýýý

ýýýYes, thatýýýs all correct.ýýý

ýýýWhatýýýs the catch?ýýý

ýýýI donýýýt know what you mean?ýýý

ýýýWhatýýýs the catch? Are we going to have horrible working conditions that drastically shorten our lifespan, or bosses that make our work lives miserable? Are we going to have to worry about being stolen from our homes, or our kids eaten? Are we going to be conscripted into serving as cannon fodder?ýýý

ýýýNo, of course not, thatýýýs absolutely barbaric!ýýý

ýýýAre we going to have to wait in line for the hours we will now have free from work in order to get the things we need, only to find when we reach the front of the line that there isnýýýt any more of that thing or that we were in the wrong line? Are you planning on ensuring we are addicted to substances that temporarily make us happy but are actually very destructive in the long run as a means of keeping control of us?ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½No not at all, that sounds like a nightmare.ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Then what? There has to be something, there is a saying here on Earth: if something sounds too good to be true, it probably is.ï¿½ï¿½ï¿½
",464,Human-Mid
iuzbqyy,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords.,"Those idiots. They cheered when the Vretal took over and promised 4 hours workdays, 4 days a week and all the basic rights like free healthcare, free housing, guaranteed work for all. No one asked the right questions. So here we are working 4-hour workdays based on the Vretal definition of hours. Works out to about 20 Terran hours. And the Vretal use a five-day work week.

The Vretal provide work for all people. No choice allowed. You show up at the work center and get assigned to a random work site. You could spend your ""4-hour shift"" picking up shit at one of the Vretal zoos or in a warehouse moving dangerous chemicals without safety gear. Or you could get selected for a stint as a ""decorative object"" or as a medical research subject. The Vretal don't take ""no"" for an answer. Work or die.

If you get hurt, then the Vretal pop you into one of the ""universal med units"". It mostly works to put you back together. Mostly. Just ignore the occasional uneven arms and missing fingers. Don't ask why you may have a differently colored eye. The Vretal stuck every single person with physical or mental problems into one. You don't want to know what med unit does to the human brain when it ""fixes' brain damage or mental issues. If the med unit can't fix you, it doesn't spit you back out. A future user could end up with a new tattoo.

The Vretal provided housing for all. A nice, bare bones tube unit. Just big enough for one. No frills, no entertainment, no choice. You don't even get to keep the same unit. It's assigned after you complete the day's shift. You have to use it. Those that sleep outside often disappear.

Everyone gets feed. A nice serving of processed glop. Mostly meets all the nutritional needs for the average human. Once a day. No one is sure what's in it. After a while, you stop asking. The Vretal don't care if you try to grow your own food so long as you complete your ""4-hour"" shift first. Good luck finding a place to grow food. The Vretal cleared the farmlands for their food, and they guard them zealously.

As the Vretal said, ""Humans now belong to the Vretal Empire"". No one thought to ask if it was a future partner or chattel.",8,Human-Low
j9029yj,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"""The Sun is quite beautiful in this game.""

""You think? The graphics are kinda dated.""

""You wouldn't understand. You get to see the real deal every day. I don't. One ray of sunshine and...""

""And what?""

""I die.""

""Dramatic. What are you, ginger?""

""A vampire. I'd literally die.""

""...sure.""

""So who's this character you're leading me to?""

""A friendly knight. Spawned a whole bunch of memes for being the one good thing in this dark, forsaken world.""

""Not that dark. I've lived through the literal Dark Ages. This game reminds me of that, actually. At least, the fashion does.""

""You're really committed to this bit, ain'tcha? Anyway - that's him.""

""Fancy armour. He... gave me an emote?""

""Yeah, but mainly the soapstone-""

""The- the emote, he- it's...""

""You alright dude?""

""I just need a minute. Sit here, enjoy the view. Is that alright?""

""Yeah, sure. It's nice to get immersed in the view. I'll go grab a drink.""

""Yeah.""

""...""

""I agree with you, fair knight.

Praise the Sun.""",1100,Human-High
j902zmd,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"There was a certain charm to playing a long line of eccentric nobles over the years. Shuffling wealth down the 'lineage' of my 'descendants' was simple once you knew how unscrupulous humans were and the ones who knew how to weave through the intricate web of taxation and usury were the best ones who with a wink found a way to move money here or there.

At first, it was in elaborate paintings. Give me a lilting sunset, or a noon basking over a farm field, I would ask. I sighed as each artwork propped itself up after a master of their craft gave me the best rendition of what that fiery orb in the sky looked liked.

Pale imitations of what really existed over my head when I slept.

I then tried to peer into the telescopes of great astrologers and astronomers, only to learn that I grew bored watching things too distant for me to reach.

Next, rotoscopes and movie films equally tried my attention; as cinema was for entertainment, not active participation. I did chuckle at what they thought my kind was like. A sad, tragic but true take of the real thing...

I was so close when computers came alive and from simple pixels to living canvasses stretched across a 3D ceiling, it became alluringly close to what I hungered for. The first games that truly showed me a living ball of searing energy took my breath away.

But it was not quite right. Something was missing. That was until I found an emergent technology that was being worked on in Japan.

I spared no expense. There was a genius to the idea, and I wanted to ensure that it grew, not devolve itself into a plaything for the uninspired and the insipid.

I flipped the visor in my hand. It was truly a marvel of technology. Instant access points to any connection locally, total immersion, and near synaptic processing speeds of data.

Most of the terms flew over my head, but what it offered, I could not deny. Donning it like a helmet, it would allow me access to a world in which it didn't matter who I was, I would be able to see, to sense, to feel what was denied to me for centuries. A yearning I had missed when the last mortal sunset I saw doomed me to be a creature of the night.

Until now.

And all it costed was a pittance of years, an ungodly amount of fortune, and perhaps ten thousand mortal souls.

For I looked over at the man who invented this complex neurological interface. His thin smile, behind that uninspired face, belied a man who valued humans as much as I did. I made a deal with him to build me a world that I could walk in the daylight. And from the handshake we traded, despite my superior strength that I could snap him in half if I so choose, I saw the same being who yearned for something beyond his grasp too- a world that he could exist in as well. A world that would cost anything and everything to make.

He nodded to me, indicating it was ready to wear.

I smiled, a crack that my visage hadn't borne in a good century.

I doffed the NerveGear, and made my way into Kayaba Akihiko's sun-drenched world...",211,Human-Mid
j90nocp,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries.,"The sky was black and cold and the day was long dead, as somewhere, in a house long forgotten by the sun there lived a undead known as Stacy BloodRayne. A suitable name for a vampire, as she was not only separated from the living but despite the whole being dead thing, held a irrepressible fire inside.

She had just gotten back from another night's trip to her local mall, her only real social interaction to the outside world, she had many off comments, some complimenting her for her coal black hair or her ghostly skin, some on her strange and mysterious lifestyle. Either way, they never lasted.

She talks to the cashier, a young man, Diablo with a direction less yet optimistic outlook on life who is pretty much the only person she regularly sees, after wasting countless nights on the internet, which had became her definition of a public life she had been convinced to purchase a odd new game.

After a conversation she had already hid away she returned to her singular home and decided to plug it in, ""Atleast I'll have some sort of life"" She says to herself, with a defeated grin. After some loading time the game begins and she is struck by a overwhelming emotion as if it was a rapid uppercut to the head. For the first time in the entire month she felt truly awake and held a gaping expression on her face, she didn't know why she felt this way, but she wanted to find out how.

As she continued playing she sees things that had faded away long ago. She starts to see a world, become part of a story, instead of a looming shadow from a abounded pack. She felt a sense of achievement and a odd sense of community, she started to see the light. ""What's this?"" She asks herself, embarrassed as soon as the words came out. ""The giant ball of radiation that floats over in the sky. What people call the sun"" She bluntly responds, before holding in a fit of luaghter.

At first it was merely amusing, as time went on she became invested, as the night turned into day and the day turned into night she had became addicted, in a strangely healthy way. For the first time in a decade, she had finally felt 'happiness' not the fleeting type of a random compliment on the street or a short reward, but something more fulfilling. As if she had finally discovered something she had always needed. Soon her catalogue of games started to build up & she beat them all. She smiled, she laughed, she may have even lived.

As she kept on gaming she decides to try it online and very soon she had found people talk to as well. Maybe life was more than survival. Maybe joy didn't go away with a soul and maybe, just maybe.. video game good.",6,Human-Low
inbvq5e,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares.,"Do you know what it tastes like when someone dreams of their family, the happy times they spent together, the happy times that could be?

It tastes like warm soup on a cold night.

A dream of a passionate night spent with a crush? It's like a bowl of fruit, freshly cut and mixed to perfection with perhaps just a hint of spice to it. A killer dreaming of a fresh victim? It's like steak, strangely familiar yet unique, juicy, savoury, and bloody.

I've travelled the cosmos for hundreds of years, feeding on the dreams of the different races I've come across. Some simpler and less developed; their dreams are quaint and straightforward, like eating an apple without anything else. Some developed; those dreams are like fine meals with several courses, each more refined than the rest. Do not think me cruel; the worst I can do is cause a dreamless night to sate my hunger.

And then there's humanity.

I have never, ever, tasted anything like what humanity has offered.

There's plenty to be had like what I had described; savoury and sweet, sour and pleasantly bitter. Some of the dishes they have offered ranked among the highest I've ever had. But then I would come across something entirely new; a dream that has been twisted and broken beyond my comprehension; a dream that brings no comfort or rest; a dream they call ""a nightmare"".

I have... seen things of pure, unbridled terror with no sense or reason. An infinite fall filled with a neverending scream echoing through the empty void. A monster of impossible composition preying on the human as they frantically search for safety, never to find it. The sensation of being at their most vulnerable at the worst of moments. It's wrong.

And it's something only they have. I pity them. The idea that you might seek rest and refreshment only to experience terror untold and wake up screaming... nothing in the galaxy should ever experience that.

Do you know what a nightmare tastes like?

No, you don't.

And you don't want to.",1200,Human-High
inbrgic,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares.,"The alien watched as the images flashed through the humanï¿½ï¿½ï¿½s mind. Watching as the human laid trapped in a spiderï¿½ï¿½ï¿½s web, unable to move. Their desperate squirms only tightening the surrounding webbing, making it so it was nearly impossible for them to breathe. Each breath only straining their lungs until they felt like their body might pop from holding in all that oxygen. They went to scream, but the noise refused to come out, leaving them trapped in their nightmarish hell.

Even as their three stomachs growled, Xai couldnï¿½ï¿½ï¿½t eat. They were too enthralled by the nightmare, wondering how it would end. They watched as a sixteen-legged spider crawled out of a hole. Their body being four times the size of the human with two piercing fangs protruding from their mouth. Each fang dripping a greenish venom that was dripping onto the ground below, burning holes in it.

As the spider revealed itself, the human only grew more panicked, making small mumbles in their sleep as they tossed and turned uelieved them of the nightmare, sucking the dream up. The purple energy leaving the humanï¿½ï¿½ï¿½s ears, slowly drifting into Xaiï¿½ï¿½ï¿½s skin as the alien dined on their dream. As soon as the dream left their mind, the human stopped stirring, loosening their grip on their blankets as they returned to their peaceful slumber.

Even after being fed, Xai couldnï¿½ï¿½ï¿½t leave the humanï¿½ï¿½ï¿½s side, still trying to work out what they had just seen. Dreams were just a mindï¿½ï¿½ï¿½s way of breaking down the information it had processed, right? Then was this something the human had experienced before? In all their studies about Earth, they had never come across a spider big enough to trap a human in such a way. Did they still not understand the planet?

Xai took another look into the humanï¿½ï¿½ï¿½s mind, finding this dream far more realistic. The dream consisting of the human sitting beside a family member, discussing something that appeared rather mundane. This made sense. This dream was the perfect examplehat had happened over the day. So, if this dream made sense, where did the spider come from? The concept of a nightmare not crossing the alienï¿½ï¿½ï¿½s mind. A nightmare made little sense. In a galaxy of dreamers, they had never encountered something so strange. The idea that the mind would sabotage itself, leaving Xai rather confused. All it did was make the alien pity the human. Their eight fingered hand brushing the cheek of the human, trying to offer them some comfort.

The human only turned away, rolling over in their sleep to escape the icy touch. When the human moved away, the alien gave them space, leaving them to their sleep. Xai still didnï¿½ï¿½ï¿½t know what to make of the nightmare they had seen, but they were determined to discuss it with their kind. Xai hovered above the bed before vanishing in a blink of light, returning to",332,Human-Mid
indz9ci,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares.,"ýýýYessssssýýý it thought, materializing inside and taking in its surroundings. The home was rather quaint. A single room with a thatched roof. Within the four stone walls sat a single wooden door and a shuttered window. A large black pot hung in the fire place above slowly dying embers. A sturdy wooden bed frame sitting on the dirt floor was the only furniture within. Atop sleeping upon a straw mattress was a young couple.

It approached the reaching its mind out to the two sleeping before it. ýýýAhhhh the male is clossseýýý it thought. Slowly it crept up onto the bed. Long bony legs ending in sharp pointy toes stood upon the sleepers chest. Tendril lines formed from clawed hand and tethered to the manýýýs head. A soft glow began emanating as dreams began to flow forth from the man.

A feeling of satisfaction began to fill the invader. Suddenly, a feeling of pure unbridled ecstasy filled its entire being. The human below began to squirm, shiver and sweat, unable to truly move with the creature standing on top of it.

Never had a feeling such as this been felt. Where it would have normally stopped before the awakening, this hunger could not be satiated. As more sustenance filled itï¿½ï¿½ï¿½s being the creature began to pull on its tendrils as though trying to force it or urging it onward.

The human awoke in his dream like state unable to move. Shivering in pure terror. He looked up seeing a small reddish maniacal humanoid looking creature standing on his chest. Reigns in hand seeming forcing even more terror upon him. As he screamed in terror there was a small flash of light as the house was again empty and",3,Human-Low
izy0nrq,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event.","They have died.

Meddled with a black hole again?

Tried to embrace an organic species.

And when did They die?

The species killed They.

...you are mistaken, We.

The waves have been clear enough. They have died at the hands of a small, organic species.

That is impossible. How could-

""I keep telling you that you underestimate them.""

I. How nice of you to join us.

""These little creatures have more potential than you realize; something They just found out.""

Your affection towards bacteria is touching, truly.

""The bacteria that just killed one of us, We.""

We cannot let this stand. We must embrace them in They's stead and wait until They return.

""No.""

No?

""No, It. I have plans for them. More useful to me alive. You will not touch them.""

And if We or It refuse?

""Then I'll tell them how to kill you too.""",2400,Human-High
